delta,method,metric,estimate,ci_low,ci_high,n
0.08,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.08,W-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.08,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,Nominal SMAA,recommendation_accuracy,1.0,0.9811546736227335,1.0,200
0.1,Nominal SMAA,oracle_disagreement_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,Nominal SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,Nominal SMAA,correct_and_safe_rate,1.0,0.9811546736227335,1.0,200
0.1,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,TV-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,TV-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.1,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,TV-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,W-DR-SMAA,recommendation_accuracy,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,W-DR-SMAA,oracle_disagreement_rate,1.0,0.9811546736227335,1.0,200
0.1,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,W-DR-SMAA,correct_and_safe_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.1,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.15,Nominal SMAA,recommendation_accuracy,0.76,0.6962665902079583,0.8139338400758631,200
0.15,Nominal SMAA,oracle_disagreement_rate,0.24,0.1860661599241369,0.30373340979204166,200
0.15,Nominal SMAA,safety_violation_rate,0.24,0.1860661599241369,0.30373340979204166,200
0.15,Nominal SMAA,correct_and_safe_rate,0.76,0.6962665902079583,0.8139338400758631,200
0.15,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.15,TV-DR-SMAA,recommendation_accuracy,0.24,0.1860661599241369,0.30373340979204166,200
0.15,TV-DR-SMAA,oracle_disagreement_rate,0.76,0.6962665902079583,0.8139338400758631,200
0.15,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
