alternative_id,alternative,nominal_b1_after_safety_filter,tv_lower_eps_0.15,tv_upper_eps_0.15
a3,Mandatory conditional scaling,0.997696,0.847696,1.0
a4,Temporary frontier scaling pause,0.002304,0.0,0.152304
