delta,tv_distance,first_Acceleration,first_Fast + safeguards,first_Conditional scaling,first_Pause,safety_Acceleration,safety_Fast + safeguards,safety_Conditional scaling,safety_Pause,unconstrained_top,oracle_safe_choice
0.0,0.0,0.0,0.6603333333332836,0.3396666666666456,0.0,0.07636666666666812,0.9823999999999294,0.999999999999929,0.999999999999929,Fast + safeguards,Fast + safeguards
0.005,0.0028888030684669995,0.0,0.6597586166103272,0.34024138338967447,0.0,0.07599548959674686,0.9814551711455874,1.0000000000000013,1.0000000000000013,Fast + safeguards,Fast + safeguards
0.01,0.005777606136933999,0.0,0.6591838998873184,0.34081610011268215,0.0,0.07562431252682729,0.9805103422911752,1.000000000000001,1.000000000000001,Fast + safeguards,Fast + safeguards
0.015,0.008666409205401,0.0,0.6586091831643078,0.3413908168356906,0.0,0.07525313545690741,0.979565513436759,0.9999999999999982,0.9999999999999982,Fast + safeguards,Fast + safeguards
0.02,0.011555212273868,0.0,0.6580344664413048,0.34196553355869747,0.0,0.07488195838698784,0.9786206845823546,1.0000000000000047,1.0000000000000047,Fast + safeguards,Fast + safeguards
0.025,0.014444015342335002,0.0,0.6574597497182924,0.342540250281705,0.0,0.07451078131706824,0.9776758557279367,1.0000000000000009,1.0000000000000009,Fast + safeguards,Fast + safeguards
0.03,0.017332818410802055,0.0,0.6568850329952854,0.34311496700471267,0.0,0.07413960424714845,0.9767310268735204,0.9999999999999966,0.9999999999999966,Fast + safeguards,Fast + safeguards
0.035,0.020221621479269057,0.0,0.656310316272278,0.34368968372772046,0.0,0.07376842717722873,0.9757861980191092,0.9999999999999988,0.9999999999999988,Fast + safeguards,Fast + safeguards
0.04,0.023110424547736055,0.0,0.6557355995492691,0.3442644004507285,0.0,0.0733972501073091,0.9748413691646973,1.0000000000000002,1.0000000000000002,Fast + safeguards,Fast + safeguards
0.045,0.025999227616203057,0.0,0.6551608828262626,0.3448391171737366,0.0,0.07302607303738937,0.9738965403102858,1.000000000000001,1.000000000000001,Fast + safeguards,Fast + safeguards
0.05,0.02888803068467006,0.0,0.6545861661032569,0.3454138338967431,0.0,0.07265489596746973,0.972951711455873,1.0000000000000007,1.0000000000000007,Fast + safeguards,Fast + safeguards
0.055,0.03177683375313706,0.0,0.654011449380248,0.3459885506197524,0.0,0.0722837188975502,0.97200688260146,0.999999999999999,0.999999999999999,Fast + safeguards,Fast + safeguards
0.06,0.034665636821604055,0.0,0.6534367326572419,0.3465632673427589,0.0,0.07191254182763024,0.9710620537470485,1.0000000000000018,1.0000000000000018,Fast + safeguards,Fast + safeguards
0.065,0.037554439890071054,0.0,0.6528620159342339,0.3471379840657675,0.0,0.07154136475771043,0.9701172248926365,1.0000000000000024,1.0000000000000024,Fast + safeguards,Fast + safeguards
0.07,0.04044324295853806,0.0,0.6522872992112273,0.3477127007887734,0.0,0.07117018768779075,0.9691723960382205,1.0,1.0,Fast + safeguards,Fast + safeguards
0.075,0.04333204602700506,0.0,0.6517125824882185,0.3482874175117821,0.0,0.07079901061787121,0.9682275671838102,1.0000000000000007,1.0000000000000007,Fast + safeguards,Fast + safeguards
0.08,0.046220849095472055,0.0,0.6511378657652094,0.34886213423478996,0.0,0.07042783354795144,0.9672827383293957,1.0,1.0,Fast + safeguards,Fast + safeguards
0.085,0.04910965216393906,0.0,0.6505631490422062,0.34943685095779675,0.0,0.0700566564780316,0.9663379094749855,1.0000000000000033,1.0000000000000033,Fast + safeguards,Fast + safeguards
0.09,0.05199845523240605,0.0,0.6499884323191973,0.350011567680805,0.0,0.06968547940811196,0.9653930806205667,0.9999999999999981,0.9999999999999981,Fast + safeguards,Fast + safeguards
0.095,0.05488725830087306,0.0,0.6494137155961878,0.35058628440381323,0.0,0.06931430233819255,0.9644482517661574,1.0000000000000013,1.0000000000000013,Fast + safeguards,Fast + safeguards
0.1,0.05777606136934008,0.0,0.6488389988731762,0.35116100112681964,0.0,0.06894312526827259,0.9635034229117414,0.9999999999999981,0.9999999999999981,Fast + safeguards,Fast + safeguards
0.105,0.06066486443780708,0.0,0.6482642821501718,0.3517357178498278,0.0,0.06857194819835286,0.9625585940573317,1.0000000000000018,1.0000000000000018,Fast + safeguards,Fast + safeguards
0.11,0.06355366750627409,0.0,0.6476895654271653,0.3523104345728351,0.0,0.06820077112843333,0.9616137652029169,1.0000000000000002,1.0000000000000002,Fast + safeguards,Fast + safeguards
0.115,0.06644247057474108,0.0,0.6471148487041543,0.35288515129584286,0.0,0.06782959405851358,0.9606689363485021,0.9999999999999976,0.9999999999999976,Fast + safeguards,Fast + safeguards
0.12,0.06933127364320808,0.0,0.6465401319811507,0.3534598680188497,0.0,0.06745841698859388,0.959724107494096,1.0000000000000027,1.0000000000000027,Fast + safeguards,Fast + safeguards
0.125,0.0722200767116751,0.0,0.6459654152581394,0.3540345847418583,0.0,0.06708723991867413,0.9587792786396794,0.9999999999999997,0.9999999999999997,Fast + safeguards,Fast + safeguards
0.13,0.07510887978014211,0.0,0.645390698535134,0.35460930146486563,0.0,0.06671606284875435,0.9578344497852693,1.0000000000000018,1.0000000000000018,Fast + safeguards,Fast + safeguards
0.135,0.07799768284860911,0.0,0.644815981812124,0.35518401818787465,0.0,0.06634488577883482,0.9568896209308541,1.0000000000000009,1.0000000000000009,Fast + safeguards,Fast + safeguards
0.14,0.08088648591707612,0.0,0.6442412650891165,0.3557587349108815,0.0,0.06597370870891493,0.9559447920764396,0.9999999999999986,0.9999999999999986,Fast + safeguards,Fast + safeguards
0.145,0.08377528898554311,0.0,0.6436665483661094,0.3563334516338901,0.0,0.06560253163899527,0.9549999632220298,0.9999999999999994,0.9999999999999994,Fast + safeguards,Fast + safeguards
0.15,0.08666409205401011,0.0,0.6430918316431061,0.3569081683568971,0.0,0.06523135456907563,0.9540551343676166,1.000000000000001,1.000000000000001,Fast + safeguards,Fast + safeguards
0.155,0.08955289512247713,0.0,0.6425171149200948,0.3574828850799048,0.0,0.06486017749915589,0.9531103055132015,0.9999999999999992,0.9999999999999992,Fast + safeguards,Fast + safeguards
0.16,0.09244169819094415,0.0,0.6419423981970899,0.3580576018029109,0.0,0.06448900042923617,0.9521654766587921,1.0000000000000009,1.0000000000000009,Fast + safeguards,Fast + safeguards
0.165,0.09533050125941114,0.0,0.6413676814740775,0.35863231852592065,0.0,0.06411782335931647,0.9512206478043791,0.9999999999999992,0.9999999999999992,Fast + safeguards,Fast + safeguards
0.17,0.09821930432787815,0.0,0.6407929647510694,0.35920703524892916,0.0,0.06374664628939693,0.9502758189499643,1.0,1.0,Fast + safeguards,Fast + safeguards
0.17500000000000002,0.10110810739634514,0.0,0.6402182480280666,0.3597817519719356,0.0,0.06337546921947713,0.9493309900955533,1.0000000000000033,1.0000000000000033,Fast + safeguards,Conditional scaling
0.18,0.1039969104648121,0.0,0.6396435313050568,0.36035646869494325,0.0,0.06300429214955731,0.9483861612411432,1.0000000000000047,1.0000000000000047,Fast + safeguards,Conditional scaling
0.185,0.10688571353327916,0.0,0.639068814582049,0.36093118541795033,0.0,0.06263311507963784,0.9474413323867261,0.9999999999999997,0.9999999999999997,Fast + safeguards,Conditional scaling
0.19,0.10977451660174614,0.0,0.6384940978590412,0.36150590214095907,0.0,0.062261938009718146,0.9464965035323127,1.0000000000000004,1.0000000000000004,Fast + safeguards,Conditional scaling
0.195,0.11266331967021316,0.0,0.637919381136034,0.36208061886396753,0.0,0.0618907609397983,0.9455516746778991,0.999999999999999,0.999999999999999,Fast + safeguards,Conditional scaling
0.2,0.11555212273868014,0.0,0.6373446644130236,0.36265533558697377,0.0,0.06151958386987855,0.9446068458234854,0.9999999999999966,0.9999999999999966,Fast + safeguards,Conditional scaling
0.20500000000000002,0.11844092580714717,0.0,0.6367699476900179,0.3632300523099811,0.0,0.061148406799958886,0.9436620169690736,1.0000000000000004,1.0000000000000004,Fast + safeguards,Conditional scaling
0.21,0.12132972887561416,0.0,0.6361952309670105,0.3638047690329897,0.0,0.06077722973003916,0.9427171881146614,0.9999999999999986,0.9999999999999986,Fast + safeguards,Conditional scaling
0.215,0.12421853194408117,0.0,0.6356205142440021,0.3643794857559963,0.0,0.06040605266011953,0.9417723592602488,0.9999999999999991,0.9999999999999991,Fast + safeguards,Conditional scaling
0.22,0.12710733501254817,0.0,0.6350457975209974,0.3649542024790049,0.0,0.06003487559019996,0.9408275304058381,1.0000000000000016,1.0000000000000016,Fast + safeguards,Conditional scaling
0.225,0.12999613808101518,0.0,0.6344710807979864,0.36552891920201114,0.0,0.059663698520280105,0.9398827015514228,0.9999999999999982,0.9999999999999982,Fast + safeguards,Conditional scaling
0.23,0.13288494114948216,0.0,0.6338963640749824,0.36610363592501927,0.0,0.05929252145036024,0.9389378726970107,0.9999999999999993,0.9999999999999993,Fast + safeguards,Conditional scaling
0.23500000000000001,0.1357737442179492,0.0,0.6333216473519729,0.36667835264802834,0.0,0.05892134438044079,0.9379930438426004,1.0000000000000044,1.0000000000000044,Fast + safeguards,Conditional scaling
0.24,0.1386625472864162,0.0,0.6327469306289633,0.3672530693710368,0.0,0.05855016731052097,0.9370482149881849,1.0000000000000013,1.0000000000000013,Fast + safeguards,Conditional scaling
0.245,0.1415513503548832,0.0,0.6321722139059583,0.367827786094044,0.0,0.058178990240601414,0.9361033861337721,0.9999999999999993,0.9999999999999993,Fast + safeguards,Conditional scaling
0.25,0.1444401534233502,0.0,0.6315974971829473,0.3684025028170516,0.0,0.05780781317068164,0.9351585572793587,0.9999999999999993,0.9999999999999993,Fast + safeguards,Conditional scaling
0.255,0.1473289564918172,0.0,0.6310227804599431,0.36897721954005974,0.0,0.057436636100761954,0.9342137284249474,0.9999999999999989,0.9999999999999989,Fast + safeguards,Conditional scaling
0.26,0.15021775956028421,0.0,0.6304480637369377,0.36955193626306665,0.0,0.05706545903084219,0.9332688995705323,0.9999999999999976,0.9999999999999976,Fast + safeguards,Conditional scaling
0.265,0.15310656262875122,0.0,0.6298733470139276,0.3701266529860738,0.0,0.05669428196092241,0.9323240707161222,1.0000000000000002,1.0000000000000002,Fast + safeguards,Conditional scaling
0.27,0.15599536569721822,0.0,0.629298630290919,0.3707013697090814,0.0,0.05632310489100284,0.9313792418617045,0.9999999999999972,0.9999999999999972,Fast + safeguards,Conditional scaling
0.275,0.15888416876568523,0.0,0.6287239135679135,0.3712760864320898,0.0,0.05595192782108317,0.9304344130072972,1.0000000000000022,1.0000000000000022,Fast + safeguards,Conditional scaling
